filename,filepath,subject,session,task,sequence_type,target,clustRegion,clustMask,X,Y,Z
068.04.rest.se.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.04.rest.se.errts.targ.network.fisher.clust.ldlpfc.orig.1d,068,04,rest,se,network,ldlpfc,orig,47.0,-23.0,41.0
068.03.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.03.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,068,03,rest,se_e2,seed,ldlpfc,dilate_5,21.0,-23.0,27.0
068.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,068,02,rest,me,network,ldlpfc,dilate_5,23.0,-45.0,39.0
068.04.rest.me.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.04.rest.me.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,068,04,rest,me,seed,ldlpfc,erode_1,39.0,-37.0,33.0
068.01.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.01.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,068,01,rest,se,network,ldlpfc,erode_1,49.0,-23.0,33.0
068.03.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.03.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,068,03,rest,me,network,ldlpfc,orig,49.0,-21.0,41.0
068.04.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.04.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,068,04,rest,me,network,ldlpfc,dilate_5,49.0,-13.0,47.0
068.04.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.04.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,068,04,rest,se_e2,network,ldlpfc,orig,49.0,-23.0,35.0
068.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,068,04,rest,se,seed,ldlpfc,orig,39.0,-41.0,35.0
068.03.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.03.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,068,03,rest,se_e2,network,ldlpfc,orig,47.0,-23.0,41.0
068.01.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.01.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,068,01,rest,me,network,ldlpfc,dilate_5,25.0,-29.0,49.0
068.01.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.01.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,068,01,rest,se_e2,seed,ldlpfc,erode_1,37.0,-27.0,27.0
068.01.rest.me.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.01.rest.me.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,068,01,rest,me,seed,ldlpfc,erode_1,45.0,-25.0,31.0
068.02.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.02.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,068,02,rest,se,seed,ldlpfc,dilate_5,45.0,-21.0,19.0
068.02.rest.me.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.02.rest.me.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,068,02,rest,me,seed,ldlpfc,dilate_5,23.0,-43.0,39.0
068.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,068,04,rest,se,seed,ldlpfc,dilate_5,23.0,-43.0,37.0
068.01.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.01.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,068,01,rest,se_e2,network,ldlpfc,erode_1,49.0,-23.0,33.0
068.01.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.01.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,068,01,rest,se,seed,ldlpfc,orig,43.0,-19.0,27.0
068.04.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.04.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,068,04,rest,se_e2,seed,ldlpfc,dilate_5,29.0,-35.0,21.0
068.03.rest.me.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.03.rest.me.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,068,03,rest,me,seed,ldlpfc,orig,45.0,-25.0,33.0
068.02.rest.me.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.02.rest.me.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,068,02,rest,me,seed,ldlpfc,orig,53.0,-13.0,27.0
068.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/068/068.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,068,03,rest,se,seed,ldlpfc,erode_1,45.0,-25.0,37.0
