subject,target,clustMask,sequence_type,session_i,session_j,euclidean_distance
3,seed,orig,se,0,1,16.97
3,seed,orig,se,0,2,17.2
3,seed,orig,se,0,3,15.23
3,seed,orig,se,1,2,6.32
3,seed,orig,se,1,3,4.9
3,seed,orig,se,2,3,2.83
3,seed,orig,me,0,1,13.42
3,seed,orig,me,0,2,2.83
3,seed,orig,me,0,3,18.87
3,seed,orig,me,1,2,10.77
3,seed,orig,me,1,3,12.96
3,seed,orig,me,2,3,16.37
3,seed,orig,se_e2,0,1,14.7
3,seed,orig,se_e2,0,2,4.9
3,seed,orig,se_e2,0,3,11.83
3,seed,orig,se_e2,1,2,18.55
3,seed,orig,se_e2,1,3,15.62
3,seed,orig,se_e2,2,3,10.77
3,seed,erode_1,se,0,1,8.25
3,seed,erode_1,se,0,2,10.95
3,seed,erode_1,se,0,3,11.49
3,seed,erode_1,se,1,2,9.17
3,seed,erode_1,se,1,3,4.9
3,seed,erode_1,se,2,3,8.72
3,seed,erode_1,me,0,1,2.83
3,seed,erode_1,me,0,2,9.17
3,seed,erode_1,me,0,3,6.32
3,seed,erode_1,me,1,2,6.63
3,seed,erode_1,me,1,3,4.0
3,seed,erode_1,me,2,3,3.46
3,seed,erode_1,se_e2,0,1,6.63
3,seed,erode_1,se_e2,0,2,8.25
3,seed,erode_1,se_e2,0,3,10.2
3,seed,erode_1,se_e2,1,2,7.48
3,seed,erode_1,se_e2,1,3,9.17
3,seed,erode_1,se_e2,2,3,6.0
3,seed,dilate_5,se,0,1,7.21
3,seed,dilate_5,se,0,2,43.5
3,seed,dilate_5,se,0,3,5.66
3,seed,dilate_5,se,1,2,44.18
3,seed,dilate_5,se,1,3,2.0
3,seed,dilate_5,se,2,3,43.31
3,seed,dilate_5,me,0,1,50.52
3,seed,dilate_5,me,0,2,0.0
3,seed,dilate_5,me,0,3,17.2
3,seed,dilate_5,me,1,2,50.52
3,seed,dilate_5,me,1,3,37.95
3,seed,dilate_5,me,2,3,17.2
3,seed,dilate_5,se_e2,0,1,8.94
3,seed,dilate_5,se_e2,0,2,36.5
3,seed,dilate_5,se_e2,0,3,15.36
3,seed,dilate_5,se_e2,1,2,28.07
3,seed,dilate_5,se_e2,1,3,10.39
3,seed,dilate_5,se_e2,2,3,31.11
3,network,orig,se,0,1,27.86
3,network,orig,se,0,2,13.42
3,network,orig,se,0,3,10.95
3,network,orig,se,1,2,28.91
3,network,orig,se,1,3,17.2
3,network,orig,se,2,3,17.32
3,network,orig,me,0,1,33.05
3,network,orig,me,0,2,6.32
3,network,orig,me,0,3,31.87
3,network,orig,me,1,2,27.5
3,network,orig,me,1,3,17.09
3,network,orig,me,2,3,25.61
3,network,orig,se_e2,0,1,14.0
3,network,orig,se_e2,0,2,14.56
3,network,orig,se_e2,0,3,17.09
3,network,orig,se_e2,1,2,15.75
3,network,orig,se_e2,1,3,8.49
3,network,orig,se_e2,2,3,21.54
3,network,erode_1,se,0,1,11.83
3,network,erode_1,se,0,2,8.25
3,network,erode_1,se,0,3,8.25
3,network,erode_1,se,1,2,17.2
3,network,erode_1,se,1,3,17.2
3,network,erode_1,se,2,3,0.0
3,network,erode_1,me,0,1,11.49
3,network,erode_1,me,0,2,9.17
3,network,erode_1,me,0,3,9.17
3,network,erode_1,me,1,2,9.38
3,network,erode_1,me,1,3,10.2
3,network,erode_1,me,2,3,9.38
3,network,erode_1,se_e2,0,1,2.0
3,network,erode_1,se_e2,0,2,8.72
3,network,erode_1,se_e2,0,3,8.25
3,network,erode_1,se_e2,1,2,10.2
3,network,erode_1,se_e2,1,3,9.8
3,network,erode_1,se_e2,2,3,2.83
3,network,dilate_5,se,0,1,44.77
3,network,dilate_5,se,0,2,35.1
3,network,dilate_5,se,0,3,29.8
3,network,dilate_5,se,1,2,20.1
3,network,dilate_5,se,1,3,28.07
3,network,dilate_5,se,2,3,33.35
3,network,dilate_5,me,0,1,12.81
3,network,dilate_5,me,0,2,20.0
3,network,dilate_5,me,0,3,10.2
3,network,dilate_5,me,1,2,17.55
3,network,dilate_5,me,1,3,16.61
3,network,dilate_5,me,2,3,28.43
3,network,dilate_5,se_e2,0,1,28.98
3,network,dilate_5,se_e2,0,2,18.97
3,network,dilate_5,se_e2,0,3,28.35
3,network,dilate_5,se_e2,1,2,22.45
3,network,dilate_5,se_e2,1,3,2.0
3,network,dilate_5,se_e2,2,3,22.18
4,seed,orig,se,0,1,2.0
4,seed,orig,se,0,2,30.0
4,seed,orig,se,0,3,6.63
4,seed,orig,se,1,2,29.39
4,seed,orig,se,1,3,4.9
4,seed,orig,se,2,3,30.85
4,seed,orig,me,0,1,20.98
4,seed,orig,me,0,2,14.7
4,seed,orig,me,0,3,24.17
4,seed,orig,me,1,2,8.94
4,seed,orig,me,1,3,35.44
4,seed,orig,me,2,3,33.35
4,seed,orig,se_e2,0,1,19.39
4,seed,orig,se_e2,0,2,23.49
4,seed,orig,se_e2,0,3,21.63
4,seed,orig,se_e2,1,2,7.48
4,seed,orig,se_e2,1,3,6.63
4,seed,orig,se_e2,2,3,2.0
4,seed,erode_1,se,0,1,6.0
4,seed,erode_1,se,0,2,10.77
4,seed,erode_1,se,0,3,9.38
4,seed,erode_1,se,1,2,8.94
4,seed,erode_1,se,1,3,15.36
4,seed,erode_1,se,2,3,17.32
4,seed,erode_1,me,0,1,16.12
4,seed,erode_1,me,0,2,16.97
4,seed,erode_1,me,0,3,2.0
4,seed,erode_1,me,1,2,7.21
4,seed,erode_1,me,1,3,17.66
4,seed,erode_1,me,2,3,18.87
4,seed,erode_1,se_e2,0,1,19.7
